company,total_applications,non_applied_rows
Kia Motors,1,0
Acquis Consulting Group,1,1
Eagle Bank,1,1
Fractal Analytics,1,1
Green Courte Partners,1,1
IPG Mediabrands,1,1
Loop,1,1
Techsmith,1,1
Washington University in St. Louis,1,1
HIVE Diversity,1,1
Baltimore Ravens,1,1
Southwest Bank of Texas,1,0
Vwa Ayiti,1,1
Universal Pictures,1,1
City of Chicago,1,1
Make-a-Wish Foundation,1,0
Ruffin Consulting,1,1
BSNF Railway Foundation,1,1
Califia Farms,1,1
Loomis|Sayles,1,0
"Thoma Bravo, LLC",1,0
Blue Shield of CA,1,0
Economic Policy Institute,1,1
HEINEKEN USA,1,0
Rokt,1,0
Monument Group,1,1
GE HealthCare,1,1
CDI Vietnam,1,1
Campus Ink,1,0
Schlumberger,1,1
Technoserve,1,1
CUNA Mutual Group,1,1
Greystar,1,1
DSM-Firmenich,1,0
WSFS Bank,1,1
West Builders,1,1
13th Floor Investments,1,1
World Finer Foods,1,0
Modern Energy,1,0
Falcon Farms Inc,1,1
Veolia,1,1
SBM Life Science,1,1
Stifel,1,1
OpenMartech,1,1
Laidlow Foundation,1,1
RKube,1,0
State Attorney Office of Broward County,1,1
"Broadridge Financial Solutions, Inc.",1,1
Arthur D. Little (ADL),1,0
The Chicago Community Trust,1,1
Public School Forum of North Carolina,1,1
Starwood Hotels,1,1
Brookfield Financial,1,1
Smith Barney,1,0
CohnReznick LLP,1,1
Twilio,1,1
tastytrade,1,1
HEB,1,1
United Bank,1,1
Ascension,1,0
MIT Investment Management Company,1,1
Summit Partners,1,1
"Koch Industries, Inc.",1,0
SOFWERX,1,1
Acadian Asset Management,1,1
National Center for Disaster Preparedness Research Institute,1,1
NCR Voyix,1,0
Sallie Mae Fund,1,1
"U.S. Department of Energy, Savannah River Nuclear Solutions (SRNS)",1,1
Phillips Exeter Academy,1,1
National Association of Broadcasters (NAB),1,1
Alphasights,1,1
DoubleVerify,1,1
Breckenridge Capital Advisors,1,1
CalSTRS,1,1
Ingenio,1,1
Dun & Bradstreet,1,0
She Is The Music,1,1
Digital Promise,1,1
Halliburton,1,1
LW Hospitality Advisors,1,1
Nuveen Investments,1,1
Lands End,1,0
DuPont,1,1
University Of Maryland-Eastern Shore,1,0
U.S. Senate,1,1
"Keurig Green Mountain, Inc",1,0
The Vistria Group,1,1
Advent International,1,1
Halogen Ventures,1,1
AMERICAN EAGLE OUTFITTERS - AEO,1,1
Robert Wood Johnson Foundation,1,1
Association of Latino Professionals in Finance and Accounting (ALPFA),1,1
LXP Industrial Trust,1,0
Rackspace,1,1
Signet Jewelers,1,1
NerdWallet,1,1
"Chanel, Inc",1,0
Arselle Investments,1,0
Tulane University School of Public Health and Tropical Medicine,1,1
Conrad N. Hilton Foundation,1,1
InvestBank Corp,1,0
PVH,1,0
"Buildout, Inc.",1,1
Atlas Holdings LLC,1,1
Zendesk,1,0
ACCO Brands,1,0
CNA,1,1
The LEGO Group,1,0
G-3 Agency,1,1
Atlanta Hawks,1,0
Other Organization,1,0
BorgWarner,1,1
Inkel Direct,1,1
Brother's Brother Foundation,1,0
Health Care Services Corporation,1,1
Mohawk Industries,1,1
New York Stock Exchange (NYSE),1,1
Mayo Clinic,1,0
Bose Corporation,1,0
Robert Half International Inc.,1,1
Thompson Hospitality,1,1
Evoqua Water Technologies,1,1
Albright Stone Bridge,1,1
Oaktree Capital,1,1
IPG,1,1
Lirvana Labs,1,1
AutoNation,1,1
Brevan Howard,1,1
United Nations Development Programme,1,1
National Urban League,1,1
PS&S LLC,1,0
Stanford University - Graduate School of Business,1,1
Black Venture Capital Consortium,1,1
Matthews Real Estate Investments,1,1
Eagle Rock Properties,1,1
Pennwood Real Estate Investment Management,1,1
Drabzeen Human Development,1,1
Kapor Center for Social Impact,1,1
Rakuten,1,0
BoCa Flavor,1,0
LVMH,1,1
WP Engine,1,1
Wegmans Food Markets Inc,1,1
United Rentals,1,0
Newark Venture Partners,1,1
Clearwater Paper Corporation,1,1
AmeriSave Mortgage Corporation,1,1
Cushman & Wakefield,1,1
Dystonia Medical Research Foundation,1,1
Staples,1,1
MathWorks,1,0
The American Chamber of Commerce,1,1
Mexican International Chamber of Commerce and Industry,1,1
Ideo,1,0
Battelle,1,1
